rank, treatment, median, iqr, plot, min, max
 0,               UCB,40,  0.00,  0.01, *                   |                   ,  0.00,  1.00
 0,                PI,40,  0.00,  0.01, *                   |                   ,  0.00,  1.00
 0,                EI,40,  0.00,  0.01, *                   |                   ,  0.00,  1.00
 0,                PI,15,  0.00,  0.05, *                   |                   ,  0.00,  1.00
 0,                EI,15,  0.00,  0.05, *                   |                   ,  0.00,  1.00
 0,               UCB,15,  0.00,  0.05, *                   |                   ,  0.00,  1.00
 0,              rand,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,      SimAnnealing,40,  0.01,  0.07, *-                  |                   ,  0.00,  1.00
 0,                b2,40,  0.01,  0.07, *-                  |                   ,  0.00,  1.00
 1,              bonr,40,  0.01,  0.06, *-                  |                   ,  0.00,  1.00
 1,      SimAnnealing,15,  0.01,  0.10, *---                |                   ,  0.00,  1.00
 1,              rand,15,  0.01,  0.05, *                   |                   ,  0.00,  1.00
 1,               rand,9,  0.02,  0.07, *-                  |                   ,  0.00,  1.00
 1,              bonr,15,  0.02,  0.07, *--                 |                   ,  0.00,  1.00
 1,                 EI,9,  0.03,  0.06, -*                  |                   ,  0.00,  1.00
 1,                UCB,9,  0.03,  0.06, -*                  |                   ,  0.00,  1.00
 1,                 PI,9,  0.03,  0.06, -*                  |                   ,  0.00,  1.00
 1,    ExpProgressive,40,  0.05,  0.05, --*                 |                   ,  0.00,  1.00
 1,       progressive,40,  0.05,  0.08, --*                 |                   ,  0.00,  1.00
 1,       SimAnnealing,9,  0.05,  0.11, --*-                |                   ,  0.00,  1.00
 2,               bonr,9,  0.06,  0.11, --*-                |                   ,  0.00,  1.00
 2,    ExpProgressive,15,  0.08,  0.08, ---*                |                   ,  0.00,  1.00
 2,                b2,15,  0.08,  0.10, ---*                |                   ,  0.00,  1.00
 2,     ExpProgressive,9,  0.08,  0.09, ---*                |                   ,  0.00,  1.00
 2,       progressive,15,  0.08,  0.11, ---*                |                   ,  0.00,  1.00
 2,        progressive,9,  0.08,  0.11, ---*                |                   ,  0.00,  1.00
 2,                 b2,9,  0.08,  0.11, ---*                |                   ,  0.00,  1.00
 3,            base,2880,  0.26,  0.32,     ------*------   |                   ,  0.00,  1.00
